pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)   0.500 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.958 us    |                        }
 0) + 13.042 us   |                      }
 0) + 16.375 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.458 us    |                      rt_spin_lock();
 0)   1.166 us    |                      vma_interval_tree_remove();
 0)   0.500 us    |                      rt_spin_unlock();
 0) + 11.084 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.916 us    |                        }
 0) + 13.291 us   |                      }
 0) + 16.667 us   |                    }
 0) + 52.750 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0) + 10.125 us   |                        }
 0) + 12.958 us   |                      }
 0) + 16.125 us   |                    }
 0)   0.916 us    |                    anon_vma_interval_tree_remove();
 0)   0.625 us    |                    kmem_cache_free();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   7.375 us    |                        }
 0) + 13.917 us   |                      }
 0) + 17.041 us   |                    }
 0) + 46.708 us   |                  }
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.459 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.917 us    |                        }
 0) + 13.042 us   |                      }
 0) + 16.875 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.500 us    |                      rt_spin_lock();
 0)   1.166 us    |                      vma_interval_tree_remove();
 0)   0.458 us    |                      rt_spin_unlock();
 0) + 10.792 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.500 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.875 us    |                        }
 0) + 13.125 us   |                      }
 0) + 16.541 us   |                    }
 0) + 52.625 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0) + 10.833 us   |                        }
 0) + 13.959 us   |                      }
 0) + 17.083 us   |                    }
 0)   0.625 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.459 us    |                          preempt_count_sub();
 0)   0.500 us    |                          __rt_mutex_unlock();
 0)   6.750 us    |                        }
 0) + 12.916 us   |                      }
 0) + 16.334 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.584 us    |                      kmem_cache_free();
 0)   3.667 us    |                    }
 0)   0.542 us    |                    kmem_cache_free();
 0) + 52.166 us   |                  }
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.750 us    |                        }
 0) + 12.792 us   |                      }
 0) + 16.083 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.459 us    |                      rt_spin_lock();
 0)   1.292 us    |                      vma_interval_tree_remove();
 0)   0.458 us    |                      rt_spin_unlock();
 0) + 10.708 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.541 us    |                          __rt_mutex_unlock();
 0)   6.792 us    |                        }
 0) + 12.959 us   |                      }
 0) + 16.292 us   |                    }
 0) + 51.083 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.875 us    |                        }
 0) + 12.666 us   |                      }
 0) + 15.917 us   |                    }
 0)   0.583 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.500 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.500 us    |                          preempt_count_sub();
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.791 us    |                        }
 0) + 13.208 us   |                      }
 0) + 16.000 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.583 us    |                      kmem_cache_free();
 0)   3.625 us    |                    }
 0)   0.542 us    |                    kmem_cache_free();
 0) + 51.458 us   |                  }
 0)   0.459 us    |                  unlink_file_vma();
 0)   0.459 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.666 us    |                          __rt_mutex_lock_state();
 0)   0.458 us    |                          preempt_count_add();
 0)   0.458 us    |                          preempt_count_sub();
 0) + 11.041 us   |                        }
 0) + 14.042 us   |                      }
 0) + 17.084 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.667 us    |                      rt_spin_lock();
 0)   1.250 us    |                      vma_interval_tree_remove();
 0)   0.459 us    |                      rt_spin_unlock();
 0) + 10.458 us   |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
