,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27241,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353308
27242,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2444,182903.35331
27243,preempt_count_sub,000,null,null,null,null,schedule,1,pi_stress-2444,182903.353311
27244,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-2444,182903.353312
27245,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2444,182903.353314
27246,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2444,182903.353315
27247,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-2444,182903.353316
27248,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2444,182903.353317
27249,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2444,182903.353319
27250,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2444,182903.35332
27251,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2444,182903.353321
27252,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2444,182903.353322
27253,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2444,182903.353323
27254,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2444,182903.353324
27255,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2444,182903.353326
27256,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2444,182903.353327
27257,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2444,182903.353328
27258,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2444,182903.353329
27259,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2444,182903.35333
27260,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2444,182903.353333
27261,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2444,182903.353334
27262,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353335
27263,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353337
27264,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2444,182903.353338
27265,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2444,182903.353339
27266,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2444,182903.35334
27267,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2444,182903.353341
27268,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2444,182903.353343
27269,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2444,182903.353344
27270,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2444,182903.353345
27271,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2444,182903.353346
27272,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2444,182903.353347
27273,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2444,182903.353348
27274,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2444,182903.353349
27275,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2444,182903.353351
