,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
6690,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2426,182888.907648
6691,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.907649
6692,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2426,182888.90765
6693,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.907651
6694,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.907653
6695,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2426,182888.907654
6696,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2426,182888.907655
6697,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2426,182888.907656
6698,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2426,182888.907657
6699,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2426,182888.907658
6700,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2426,182888.90766
6701,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2426,182888.907661
6702,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2426,182888.907662
6703,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2426,182888.907663
6704,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.907665
6705,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.907666
6706,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2426,182888.907667
6707,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.907668
6708,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.907669
6709,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.90767
6710,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2426,182888.907672
6711,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2426,182888.907673
6712,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2426,182888.907674
6713,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2426,182888.907675
6714,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.907676
6715,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,2,pi_stress-2426,182888.907677
6716,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2426,182888.907679
6717,pick_next_task_dl,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.90768
6718,pick_next_task_rt,000,null,d,null,null,__schedule,2,pi_stress-2426,182888.907681
