,Overhead,Preempted process,Preempted process id,Preempted process priority,Preempting process,Preempting process id,Preempting process priority,Scheduled status
460,0.00%,.koworker,32183,120,ksoftirqd/0,7,120,D|T
461,0.00%,.koworker,32183,120,.koworker,1014,120,R
462,0.00%,.koworker,32183,120,cyclictest,32166,120,R
463,0.00%,.koworker,32183,120,ksoftirqd/0,7,120,S
464,0.00%,.koworker,32184,120,.koworker,32185,120,R
465,0.00%,.koworker,32184,120,kworker/0,1,120,R
466,0.00%,.koworker,32184,120,ksoftirqd/0,7,120,S|T
467,0.00%,.koworker,32185,120,.koworker,32183,120,R
468,0.00%,.koworker,32185,120,.koworker,1019,120,S
469,0.00%,.koworker,32185,120,systemd,1,120,S|T
470,0.00%,.koworker,32186,120,cyclictest,32167,0,R
471,0.00%,apache2,808,120,kworker/0,1,120,S
472,0.00%,avahi-daemon,500,120,.koworker,1014,120,S
473,0.00%,cron,32181,120,ksoftirqd/0,7,120,D|T
474,0.00%,cron,32181,120,cyclictest,32166,120,R
475,0.00%,cron,32181,120,ksoftirqd/0,7,120,R
476,0.00%,cron,32181,120,systemd-journal,118,120,R
477,0.00%,cron,32181,120,.koworker,1019,120,S
478,0.00%,cron,32182,120,kworker/0,1,120,R
479,0.00%,cron,32182,120,systemd-journal,118,120,R
480,0.00%,cron,772,120,cyclictest,32166,120,R
481,0.00%,cron,772,120,cyclictest,32167,0,R
482,0.00%,cron,772,120,.koworker,1019,120,S
483,0.00%,cron,772,120,ksoftirqd/0,7,120,S
484,0.00%,cyclictest,32166,120,ksoftirqd/0,7,120,D|T
485,0.00%,cyclictest,32166,120,kworker/u2,2,120,R
486,0.00%,cyclictest,32166,120,.koworker,1019,120,S
487,0.00%,cyclictest,32166,120,cyclictest,32167,120,S
488,0.00%,cyclictest,32166,120,sshd,32169,120,S
489,0.00%,cyclictest,32166,120,sshd,32175,120,S
490,0.00%,cyclictest,32167,0,cron,772,120,S
491,0.00%,cyclictest,32167,0,jbd2/mmcblk1p2-,97,120,S
492,0.00%,cyclictest,32167,0,kthreadd,32178,120,S
493,0.00%,cyclictest,32167,0,ptp0,1120,120,S
494,0.00%,cyclictest,32167,120,ksoftirqd/0,7,120,S|T
495,0.00%,ifconfig,32170,120,ksoftirqd/0,7,120,D|T
496,0.00%,ifconfig,32170,120,kworker/0,1,120,R
497,0.00%,ifconfig,32171,120,ksoftirqd/0,7,120,D|T
498,0.00%,ifconfig,32171,120,cyclictest,32166,120,R
499,0.00%,ifconfig,32172,120,ksoftirqd/0,7,120,D|T
500,0.00%,ifconfig,32173,120,ksoftirqd/0,7,120,D|T
501,0.00%,ifconfig,32176,120,ksoftirqd/0,7,120,D|T
502,0.00%,ifconfig,32176,120,kworker/0,1,120,R
503,0.00%,ifconfig,32177,120,ksoftirqd/0,7,120,D|T
504,0.00%,ifconfig,32177,120,cyclictest,32166,120,R
505,0.00%,ifconfig,32177,120,kworker/0,1,120,R
506,0.00%,ifconfig,32179,120,ksoftirqd/0,7,120,D|T
507,0.00%,ifconfig,32180,120,ksoftirqd/0,7,120,D|T
508,0.00%,ifconfig,32187,120,ksoftirqd/0,7,120,D|T
509,0.00%,ifconfig,32190,120,cyclictest,32167,0,D|T
510,0.00%,ifconfig,32190,120,cyclictest,32166,120,R
511,0.00%,ifconfig,32190,120,kworker/0,1,120,R
512,0.00%,ifconfig,32191,120,ksoftirqd/0,7,120,D|T
513,0.00%,ifconfig,32191,120,cyclictest,32166,120,R
514,0.00%,ifconfig,32191,120,kworker/0,1,120,R
515,0.00%,ifconfig,32191,120,wicd,984,120,R
516,0.00%,ifconfig,32192,120,ksoftirqd/0,7,120,D|T
517,0.00%,ifconfig,32192,120,cyclictest,32166,120,R
518,0.00%,ifconfig,32192,120,kworker/0,1,120,R
519,0.00%,ifconfig,32192,120,wicd,984,120,R
520,0.00%,jbd2/mmcblk1p2-,97,120,kworker/0,1,120,D
521,0.00%,jbd2/mmcblk1p2-,97,120,cyclictest,32167,0,R
522,0.00%,jbd2/mmcblk1p2-,97,120,.koworker,1016,120,S
523,0.00%,jbd2/mmcblk1p2-,97,120,cyclictest,32167,0,S
524,0.00%,ksoftirqd/0,7,120,irq/31-44e0b000,90,49,R
525,0.00%,ksoftirqd/0,7,120,cron,32182,120,S
526,0.00%,ksoftirqd/0,7,120,cron,772,120,S
527,0.00%,ksoftirqd/0,7,120,ifconfig,32171,120,S
528,0.00%,ksoftirqd/0,7,120,ifconfig,32172,120,S
529,0.00%,ksoftirqd/0,7,120,ifconfig,32187,120,S
530,0.00%,ksoftirqd/0,7,120,ifconfig,32192,120,S
531,0.00%,ksoftirqd/0,7,120,kthreadd,2,120,S
532,0.00%,ksoftirqd/0,7,120,systemd,1,120,S
533,0.00%,ksoftirqd/0,7,120,wicd,32171,120,S
534,0.00%,kthreadd,2,120,kworker/u2,1,120,S
535,0.00%,kthreadd,32178,120,kworker/u2,2,120,D
536,0.00%,kworker/0,1,120,.koworker,1014,120,D
537,0.00%,kworker/0,1,120,avahi-daemon,500,120,D
538,0.00%,kworker/0,1,120,cyclictest,32167,0,D
539,0.00%,kworker/0,1,120,irq/31-44e0b000,90,49,D
540,0.00%,kworker/0,1,120,kworker/u2,1,120,D
541,0.00%,kworker/0,1,120,wicd-monitor,990,120,D
542,0.00%,kworker/0,1,120,cron,32182,120,t
543,0.00%,kworker/0,1,120,ifconfig,32176,120,t
544,0.00%,kworker/0,1,120,ifconfig,32177,120,t
545,0.00%,kworker/0,1,120,ifconfig,32179,120,t
546,0.00%,kworker/0,1,120,ifconfig,32190,120,t
547,0.00%,kworker/0,1,120,ifconfig,32191,120,t
548,0.00%,kworker/0,1,120,ifconfig,32192,120,t
549,0.00%,kworker/0,1,120,perf,32164,120,t
550,0.00%,kworker/0,1,120,wicd,32170,120,t
551,0.00%,kworker/0,1,120,wicd,32190,120,t
552,0.00%,kworker/0,1,120,wicd,32192,120,t
553,0.00%,kworker/0,2,120,sshd,27636,120,t
554,0.00%,kworker/u2,0,120,ksoftirqd/0,7,120,t
555,0.00%,kworker/u2,0,120,sshd,27636,120,t
556,0.00%,kworker/u2,1,120,kworker/0,1,120,R
557,0.00%,kworker/u2,1,120,apache2,808,120,t
558,0.00%,kworker/u2,1,120,avahi-daemon,500,120,t
559,0.00%,kworker/u2,1,120,jbd2/mmcblk1p2-,97,120,t
560,0.00%,kworker/u2,1,120,systemd-journal,118,120,t
561,0.00%,kworker/u2,1,120,wicd-monitor,990,120,t
562,0.00%,kworker/u2,2,120,ksoftirqd/0,7,120,D
563,0.00%,kworker/u2,2,120,kworker/u2,0,120,t
564,0.00%,mmcqd/1,89,120,kworker/0,1,120,R
565,0.00%,mmcqd/1,89,120,ksoftirqd/0,7,120,S
566,0.00%,mmcqd/1,89,120,kworker/0,1,120,S
567,0.00%,mmcqd/1,89,120,sshd,27636,120,S
568,0.00%,perf,32163,120,ksoftirqd/0,7,120,R
569,0.00%,perf,32163,120,ksoftirqd/0,7,120,S
570,0.00%,perf,32163,120,sshd,32169,120,S
571,0.00%,ps,32186,120,ksoftirqd/0,7,120,D|T
572,0.00%,ps,32186,120,cyclictest,32166,120,R
573,0.00%,ptp0,1120,120,.koworker,1016,120,S
574,0.00%,ptp0,1120,120,mmcqd/1,89,120,S
575,0.00%,rs:mainQ:Reg,626,120,.koworker,1014,120,R
576,0.00%,rs:mainQ:Reg,626,120,.koworker,1014,120,S
577,0.00%,rs:mainQ:Reg,626,120,cron,32182,120,S
578,0.00%,rs:mainQ:Reg,626,120,cyclictest,32166,120,S
579,0.00%,rs:mainQ:Reg,626,120,sudo,32164,120,S
580,0.00%,sh,32182,120,cron,32181,120,D|T
581,0.00%,sh,32182,120,kworker/0,1,120,R
582,0.00%,sshd,27636,120,mmcqd/1,89,120,R
583,0.00%,sshd,27636,120,avahi-daemon,500,120,S
584,0.00%,sshd,27636,120,ifconfig,32171,120,S
585,0.00%,sshd,27636,120,ifconfig,32173,120,S
586,0.00%,sshd,27636,120,ifconfig,32177,120,S
587,0.00%,sshd,27636,120,ifconfig,32180,120,S
588,0.00%,sshd,27636,120,nohup,32183,120,S
589,0.00%,sshd,27636,120,Q,Reg,120,S
590,0.00%,sshd,27636,120,sh,32183,120,S
591,0.00%,sshd,27636,120,sshd,740,120,S
592,0.00%,sshd,27636,120,wicd,32170,120,S
593,0.00%,sshd,27636,120,wicd,32172,120,S
594,0.00%,sshd,27636,120,wicd,32173,120,S
595,0.00%,sshd,27636,120,wicd,32176,120,S
596,0.00%,sshd,27636,120,wicd,32179,120,S
597,0.00%,sshd,27636,120,wicd,32187,120,S
598,0.00%,sshd,27636,120,wicd,32191,120,S
599,0.00%,sshd,27636,120,wicd,32192,120,S
600,0.00%,sshd,32168,120,ksoftirqd/0,7,120,D|T
601,0.00%,sshd,32168,120,avahi-daemon,500,120,R
602,0.00%,sshd,32168,120,systemd-journal,118,120,R
603,0.00%,sshd,32168,120,.koworker,1019,120,S
604,0.00%,sshd,32168,120,ksoftirqd/0,7,120,S
605,0.00%,sshd,32169,120,ksoftirqd/0,7,120,D|T
606,0.00%,sshd,32169,120,cyclictest,32166,120,S
607,0.00%,sshd,32169,120,ksoftirqd/0,7,120,S
608,0.00%,sshd,32174,120,ksoftirqd/0,7,120,D|T
609,0.00%,sshd,32174,120,.koworker,1014,120,S
610,0.00%,sshd,32175,120,ksoftirqd/0,7,120,D|T
611,0.00%,sshd,32175,120,.koworker,1019,120,S
612,0.00%,sshd,32188,120,ksoftirqd/0,7,120,D|T
613,0.00%,sshd,32188,120,avahi-daemon,500,120,R
614,0.00%,sshd,32188,120,.koworker,1014,120,S
615,0.00%,sshd,32189,120,ksoftirqd/0,7,120,D|T
616,0.00%,sshd,32189,120,ksoftirqd/0,7,120,R
617,0.00%,sshd,740,120,kworker/0,1,120,R
618,0.00%,sshd,740,120,cyclictest,32166,120,S
619,0.00%,sshd,740,120,sshd,19316,120,S
620,0.00%,sshd,740,120,sshd,32168,120,S
621,0.00%,sudo,32164,120,ksoftirqd/0,7,120,D|T
622,0.00%,sudo,32164,120,.koworker,1019,120,R
623,0.00%,sudo,32164,120,sudo,32166,120,S
624,0.00%,systemd-journal,118,120,.koworker,1014,120,S
625,0.00%,systemd-journal,118,120,.koworker,1016,120,S
626,0.00%,systemd-journal,118,120,cron,32181,120,S
627,0.00%,systemd-journal,118,120,cyclictest,32166,120,S
628,0.00%,systemd-journal,118,120,perf,32163,120,S
629,0.00%,systemd-journal,118,120,Q,Reg,120,S
630,0.00%,systemd-journal,118,120,sudo,32164,120,S
631,0.00%,systemd,1,120,cyclictest,32167,0,R
632,0.00%,systemd,1,120,ksoftirqd/0,7,120,S
633,0.00%,wicd-monitor,990,120,ksoftirqd/0,7,120,R
634,0.00%,wicd-monitor,990,120,cyclictest,32167,0,S
635,0.00%,wicd-monitor,990,120,kworker/0,1,120,S
636,0.00%,wicd,32172,120,cyclictest,32166,120,R
637,0.00%,wicd,32173,120,cyclictest,32166,120,R
638,0.00%,wicd,32173,120,ksoftirqd/0,7,120,R
639,0.00%,wicd,32176,120,cyclictest,32166,120,R
640,0.00%,wicd,32179,120,cyclictest,32166,120,R
641,0.00%,wicd,32180,120,ksoftirqd/0,7,120,R
642,0.00%,wicd,32187,120,cyclictest,32166,120,R
643,0.00%,wicd,32190,120,cyclictest,32166,120,R
644,0.00%,wicd,32191,120,cyclictest,32166,120,R
645,0.00%,wicd,32192,120,kworker/0,1,120,R
646,0.00%,wicd,984,120,mmcqd/1,89,120,R
647,0.00%,wicd,984,120,cyclictest,32167,0,S
648,0.00%,wicd,984,120,ifconfig,32170,120,S
649,0.00%,wicd,984,120,ifconfig,32176,120,S
650,0.00%,wicd,984,120,ifconfig,32179,120,S
651,0.00%,wicd,984,120,ifconfig,32180,120,S
652,0.00%,wicd,984,120,ifconfig,32190,120,S
653,0.00%,wicd,984,120,wicd,32170,120,S
654,0.00%,wicd,984,120,wicd,32171,120,S
655,0.00%,wicd,984,120,wicd,32172,120,S
656,0.00%,wicd,984,120,wicd,32173,120,S
657,0.00%,wicd,984,120,wicd,32176,120,S
658,0.00%,wicd,984,120,wicd,32177,120,S
659,0.00%,wicd,984,120,wicd,32179,120,S
660,0.00%,wicd,984,120,wicd,32180,120,S
661,0.00%,wicd,984,120,wicd,32187,120,S
662,0.00%,wicd,984,120,wicd,32190,120,S
663,0.00%,wicd,984,120,wicd,32191,120,S
664,0.00%,wicd,984,120,wicd,32192,120,S
