,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
3399,put_prev_task_rt,000,null,d,null,null,pick_next_task_rt,null,pi_stress-1200,638.909261
3400,update_curr_rt,000,null,d,null,null,put_prev_task_rt,null,pi_stress-1200,638.909264
3401,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1200,638.909269
3402,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1200,638.909272
3403,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1200,638.909274
3404,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1200,638.909277
3405,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909281
3406,_cond_resched,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1199,638.909284
3407,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.909288
3408,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1199,638.909293
3409,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-1199,638.909296
3410,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-1199,638.909299
3411,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.909302
3412,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.909305
3413,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1199,638.909308
3414,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.909311
3415,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-1199,638.909314
3416,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-1199,638.909318
3417,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1199,638.909321
3418,rcu_sched_qs,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909324
3419,update_rq_clock,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909327
3420,deactivate_task,000,null,d,null,null,__schedule,null,pi_stress-1199,638.909331
3421,dequeue_task_rt,000,null,d,null,null,deactivate_task,null,pi_stress-1199,638.909334
3422,update_curr_rt,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.909337
3423,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,null,pi_stress-1199,638.90934
3424,cpuacct_charge,000,null,d,null,null,update_curr_rt,null,pi_stress-1199,638.909343
3425,dequeue_rt_stack,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.909347
3426,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1199,638.90935
3427,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,dequeue_task_rt,null,pi_stress-1199,638.909353
