# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222900
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.00%  mmcqd/1:89 [120] D ==> .koworker:1019 [120]
     0.00%  perf:32349 [120] R ==> jbd2/mmcblk1p2-:97 [120]
     0.00%  sshd:32355 [120] R ==> cyclictest:32352 [120]
     0.00%  sshd:32355 [120] R ==> kworker/0:0:32281 [120]
     0.00%  sshd:32356 [120] R ==> cyclictest:32352 [120]
     0.00%  sshd:32358 [120] R ==> sshd:32360 [120]
     0.00%  sshd:32368 [120] R ==> cyclictest:32352 [120]
     0.00%  sshd:32372 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd-monitor:990 [120] R ==> kworker/0:0:32281 [120]
     0.00%  wicd:32354 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32361 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32362 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32366 [120] R ==> cyclictest:32353 [0]
     0.00%  wicd:32390 [120] R ==> cyclictest:32353 [0]
     0.00%  .koworker:1014 [120] S ==> ps:32388 [120]
     0.00%  .koworker:32386 [120] S ==> ps:32388 [120]
     0.00%  avahi-daemon:500 [120] S ==> cyclictest:32352 [120]
     0.00%  cyclictest:32352 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32354 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32359 [120]
     0.00%  cyclictest:32353 [0] S ==> ifconfig:32366 [120]
     0.00%  cyclictest:32353 [0] S ==> sshd:32372 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32365 [120]
     0.00%  cyclictest:32353 [0] S ==> wicd:32376 [120]
     0.00%  dbus-daemon:518 [120] S ==> .koworker:1014 [120]
     0.00%  dbus-daemon:518 [120] S ==> wicd:984 [120]
     0.00%  ifconfig:32357 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32362 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32363 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32389 [120] R ==> cyclictest:32353 [0]
     0.00%  ifconfig:32390 [120] R ==> cyclictest:32353 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> ps:32388 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> wicd-monitor:990 [120]
     0.00%  kworker/0:0:32281 [120] t ==> dbus-daemon:518 [120]
