# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.01%  cyclictest:32205 [0] S ==> .koworker:32214 [120]
     0.01%  dbus-daemon:518 [120] S ==> .koworker:1014 [120]
     0.01%  kworker/0:1:32113 [120] t ==> sshd:32209 [120]
     0.01%  sshd:27636 [120] S ==> sshd:32210 [120]
     0.01%  sshd:32210 [120] S ==> sshd:32209 [120]
     0.01%  sshd:32229 [120] R ==> kworker/0:1:32113 [120]
     0.01%  sshd:32233 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:32234 [120] S ==> sshd:32233 [120]
     0.01%  sshd:32235 [120] R ==> kworker/0:1:32113 [120]
     0.01%  sshd:32236 [120] R ==> cyclictest:32204 [120]
     0.01%  sshd:740 [120] R ==> cyclictest:32205 [0]
     0.01%  wicd-monitor:990 [120] S ==> dbus-daemon:518 [120]
     0.00%  cyclictest:32205 [0] S ==> rs:main Q:Reg:626 [120]
     0.00%  cyclictest:32205 [0] S ==> sshd:740 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32209 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32227 [120]
     0.00%  kworker/0:1:32113 [120] D ==> cyclictest:32204 [120]
     0.00%  kworker/0:1:32113 [120] t ==> kworker/u2:1:27770 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32223 [120]
     0.00%  sshd:27636 [120] S ==> sshd:32227 [120]
     0.00%  sshd:32209 [120] R ==> cyclictest:32204 [120]
     0.00%  sshd:32209 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32224 [120] S ==> sshd:32223 [120]
     0.00%  sshd:32226 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32234 [120] R ==> cyclictest:32204 [120]
     0.00%  cyclictest:32204 [120] S ==> .koworker:1016 [120]
     0.00%  ifconfig:32206 [120] R ==> cyclictest:32205 [0]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32230 [120]
     0.00%  kworker/0:1H:96 [100] t ==> jbd2/mmcblk1p2-:97 [120]
     0.00%  sshd:27636 [120] S ==> sshd:32231 [120]
     0.00%  sshd:32230 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32234 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32235 [120] R ==> cyclictest:32204 [120]
     0.00%  wicd:32217 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32219 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32225 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32237 [120] R ==> cyclictest:32205 [0]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32232 [120]
     0.00%  cyclictest:32205 [0] S ==> rsyslogd:627 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32207 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32217 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32219 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32222 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32232 [120]
     0.00%  dbus-daemon:518 [120] S ==> cyclictest:32204 [120]
     0.00%  dbus-daemon:518 [120] S ==> wicd:984 [120]
     0.00%  irq/31-44e0b000:90 [49] S ==> ksoftirqd/0:7 [120]
     0.00%  irq/31-44e0b000:90 [49] S ==> kworker/0:1:32113 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> ps:32216 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32226 [120]
     0.00%  perf:32202 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32209 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32223 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32228 [120] R ==> sshd:32229 [120]
     0.00%  sshd:32230 [120] R ==> cyclictest:32204 [120]
     0.00%  systemd-journal:118 [120] R ==> kworker/0:1:32113 [120]
     0.00%  systemd-journal:118 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  wicd-monitor:990 [120] R ==> kworker/0:1:32113 [120]
     0.00%  wicd:32206 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32207 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32208 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32218 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32220 [120] R ==> cyclictest:32205 [0]
     0.00%  wicd:32221 [120] R ==> cyclictest:32205 [0]
     0.00%  .koworker:32214 [120] S ==> ps:32216 [120]
     0.00%  cyclictest:32204 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32208 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32218 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32220 [120]
     0.00%  cyclictest:32205 [0] S ==> wicd:32225 [120]
     0.00%  ifconfig:32232 [120] R ==> cyclictest:32205 [0]
     0.00%  ksoftirqd/0:7 [120] S ==> dbus-daemon:518 [120]
     0.00%  ksoftirqd/0:7 [120] S ==> sshd:32236 [120]
     0.00%  kworker/0:1:32113 [120] t ==> avahi-daemon:500 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32227 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32233 [120]
     0.00%  kworker/0:1:32113 [120] t ==> sshd:32234 [120]
     0.00%  kworker/0:1:32113 [120] t ==> wicd-monitor:990 [120]
     0.00%  perf:32202 [120] R ==> jbd2/mmcblk1p2-:97 [120]
     0.00%  sshd:32223 [120] R ==> sshd:32224 [120]
     0.00%  sshd:32226 [120] R ==> cyclictest:32204 [120]
     0.00%  sshd:32227 [120] R ==> kworker/0:1:32113 [120]
     0.00%  sshd:32227 [120] S ==> sshd:32226 [120]
